"HostName","ControlId","ControlName","Owner","Mode","Status","Action","EvaluatedAtUtc","DesiredState","ActualState","DifferingProperties","Message"
"MM-DC1.mathiasmotron.com","DSC-01-Spooler","Print Spooler stopped and disabled","DSC","Audit","NonCompliant","Test","2026-09-25T11:22:11.0977417Z","{""Name"":""Spooler"",""Ensure"":""Present"",""State"":""Stopped"",""StartupType"":""Disabled""}","{""Name"":""Spooler"",""Ensure"":""Present"",""State"":""Running"",""StartupType"":""Automatic""}","State, StartupType",""
"MM-DC1.mathiasmotron.com","DSC-02-SMB1","SMB server protocol version 1 disabled","GPO","Audit","Compliant","Test","2026-09-25T11:22:18.1964691Z","{""IsSingleInstance"":""Yes"",""EnableSMB1Protocol"":false}","{""IsSingleInstance"":""Yes"",""EnableSMB1Protocol"":false}","",""
"MM-DC1.mathiasmotron.com","DSC-02-Signing","SMB server signing required","GPO","Audit","Compliant","Test","2026-09-25T11:22:24.8684200Z","{""IsSingleInstance"":""Yes"",""RequireSecuritySignature"":true}","{""IsSingleInstance"":""Yes"",""RequireSecuritySignature"":true}","",""
"MM-DC1.mathiasmotron.com","DSC-03-Logon","Logon audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T11:22:31.6059957Z","{""Name"":""Logon"",""AuditFlag"":""Success And Failure"",""Ensure"":""Present""}","{""Name"":""Logon"",""AuditFlag"":""Success and Failure"",""Ensure"":""Present""}","AuditFlag",""
"MM-DC1.mathiasmotron.com","DSC-03-Accounts","User account management audit: success and failure","GPO","Audit","Compliant","Test","2026-09-25T11:22:38.2830520Z","{""Name"":""User Account Management"",""AuditFlag"":""Success And Failure"",""Ensure"":""Present""}","{""Name"":""User Account Management"",""AuditFlag"":""Success and Failure"",""Ensure"":""Present""}","AuditFlag",""
"MM-DC1.mathiasmotron.com","DSC-03-DirectoryChanges","Directory service changes audit: success","GPO","Audit","NonCompliant","Test","2026-09-25T11:22:44.8673389Z","{""Name"":""Directory Service Changes"",""AuditFlag"":""Success"",""Ensure"":""Present""}","{""Name"":""Directory Service Changes"",""AuditFlag"":""Success and Failure"",""Ensure"":""Absent""}","AuditFlag, Ensure",""
"MM-DC1.mathiasmotron.com","DSC-04-Security","Security log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T11:22:51.9599722Z","{""LogName"":""Security"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Security"",""MaximumSizeInBytes"":134217728,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-04-System","System log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T11:22:58.6366747Z","{""LogName"":""System"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""System"",""MaximumSizeInBytes"":20971520,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-04-Directory","Directory Service log: 1 GiB, overwrite oldest events","DSC","Audit","NonCompliant","Test","2026-09-25T11:23:05.4706368Z","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1073741824,""LogMode"":""Circular""}","{""LogName"":""Directory Service"",""MaximumSizeInBytes"":1052672,""LogMode"":""Circular""}","MaximumSizeInBytes",""
"MM-DC1.mathiasmotron.com","DSC-05-Signing","Explicit LDAP signing policy: Require signing","GPO","Audit","Compliant","Test","2026-09-25T11:23:11.8407386Z","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LDAPServerIntegrity"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LDAPServerIntegrity"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","Key","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
"MM-DC1.mathiasmotron.com","DSC-05-ChannelBinding","Explicit LDAP channel binding policy: Always","GPO","Audit","Compliant","Test","2026-09-25T11:23:18.9172706Z","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LdapEnforceChannelBinding"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","{""Key"":""HKLM:\\SYSTEM\\CurrentControlSet\\Services\\NTDS\\Parameters"",""ValueName"":""LdapEnforceChannelBinding"",""ValueType"":""DWord"",""ValueData"":[""2""],""Ensure"":""Present""}","Key","Explicit policy value check only; no inference about implicit LDAP defaults or effective enforcement."
"MM-DC2.mathiasmotron.com","DSC-01-Spooler","Print Spooler stopped and disabled","DSC","Audit","NonCompliant","Test","2026-09-25T11:24:23.6163347Z","{""Name"":""Spooler"",""Ensure"":""Present"",""State"":""Stopped"",""StartupType"":""Disabled""}","{""Name"":""Spooler"",""Ensure"":""Present"",""State"":""Running"",""StartupType"":""Automatic""}","State, StartupType",""
"MM-DC2.mathiasmotron.com","DSC-02-SMB1","SMB server protocol version 1 disabled","GPO","Audit","Compliant","Test","2026-09-25T11:24:39.3254965Z","{""IsSingleInstance"":""Yes"",""EnableSMB1Protocol"":false}","{""IsSingleInstance"":""Yes"",""EnableSMB1Protocol"":false}","",""
"MM-DC2.mathiasmotron.com","DSC-02-Signing","SMB server signing required","GPO","Audit","Compliant","Test","2026-09-25T11:24:52.4897176Z","{""IsSingleInstance"":""Yes"",""RequireSecuritySignature"":true}","{""IsSingleInstance"":""Yes"",""RequireSecuritySignature"":true}","",""
