"Id","Category","Severity","Title","Description","Remediation","ObjectDN","Domain","Source","Details"
"MATI-STALE-001","StaleObjects","Critical","Stale user accounts detected","Domain child.mathiasmotron.com contains user accounts that have been inactive (based on LastLogonTimestamp / creation date) for 90 days or more. Stale accounts increase the attack surface and should be reviewed and cleaned up.","Review stale user accounts, disable those no longer needed, and consider implementing automatic lifecycle / deprovisioning processes to reduce long-lived inactive identities.","child.mathiasmotron.com","child.mathiasmotron.com","40-MATI-StaleObjectsAndOS","Users90d=0; Users180d=; Users365d=4; TotalStaleUsers=5"
"MATI-STALE-001","StaleObjects","Critical","Stale user accounts detected","Domain mathiasmotron.com contains user accounts that have been inactive (based on LastLogonTimestamp / creation date) for 90 days or more. Stale accounts increase the attack surface and should be reviewed and cleaned up.","Review stale user accounts, disable those no longer needed, and consider implementing automatic lifecycle / deprovisioning processes to reduce long-lived inactive identities.","mathiasmotron.com","mathiasmotron.com","40-MATI-StaleObjectsAndOS","Users90d=4; Users180d=3; Users365d=26; TotalStaleUsers=33"
"MATI-ACL-001","ACLs","High","AdminSDHolder grants dangerous rights to a non-safe principal","AdminSDHolder in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This can compromise the security of all protected accounts inheriting from AdminSDHolder.","Review the ACL on AdminSDHolder and restrict dangerous rights (GenericAll/GenericWrite/WriteDacl/WriteOwner/Delete/ExtendedRight) to a minimal set of trusted admin groups.","CN=AdminSDHolder,CN=System,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-001","ACLs","High","AdminSDHolder grants dangerous rights to a non-safe principal","AdminSDHolder in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This can compromise the security of all protected accounts inheriting from AdminSDHolder.","Review the ACL on AdminSDHolder and restrict dangerous rights (GenericAll/GenericWrite/WriteDacl/WriteOwner/Delete/ExtendedRight) to a minimal set of trusted admin groups.","CN=AdminSDHolder,CN=System,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Read-only Domain Controllers (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal MATHIASMOTRON\Enterprise Admins. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Read-only Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=MATHIASMOTRON\Enterprise Admins; Rights=CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Print Operators (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-560. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Print Operators,CN=Builtin,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-560; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Replicator (Group) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Replicator,CN=Builtin,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object Read-only Domain Controllers (Group) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=Read-only Domain Controllers,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object mathiasadmin (User) in domain child.mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-554. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=mathiasadmin,CN=Users,DC=child,DC=mathiasmotron,DC=com","child.mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-554; Rights=ReadProperty; AccessControlType=Allow; IsInherited=False"
"MATI-ACL-002","ACLs","High","Protected object grants dangerous rights to a non-safe principal","Protected object krbtgt (User) in domain mathiasmotron.com grants dangerous Active Directory rights to non-safe principal S-1-5-32-561. This may allow attackers to modify or take control of privileged accounts or groups.","Review the ACL of this protected object and restrict dangerous rights to a minimal set of trusted admin groups. Ensure that delegated admins are managed through controlled groups and not directly on protected objects.","CN=krbtgt,CN=Users,DC=mathiasmotron,DC=com","mathiasmotron.com","50-MATI-ACLs","Trustee=S-1-5-32-561; Rights=ReadProperty, WriteProperty; AccessControlType=Allow; IsInherited=False"
